"ArticleID";"ArticleName";"SKU";"EAN";"ProductName";"Archetype";"Gender";"CountryOfOrigin";"Color";"Size";"PrimeCost";"Filter_collar";"Fastener";"Fit";"Lining";"Material";"Season";"Style"
"616c5cd09c382b004d375ec0";"Hannah, Schwarz, M";"RIHANNA-SCHWARZ-M";"4260356552226";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"M";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ebe";"Hannah, Schwarz, S";"RIHANNA-SCHWARZ-S";"4260356552219";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"S";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ec4";"Hannah, Schwarz, XL";"RIHANNA-SCHWARZ-XL";"4260356552240";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ebc";"Hannah, Schwarz, XS";"RIHANNA-SCHWARZ-XS";"4260356556071";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"XS";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"62cc1eff9c382b004d0a6956";"Harlem, Braun, 2XL";"Harlem-BRAUN-2XL";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"2XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a6960";"Harlem, Braun, 3XL";"Harlem-BRAUN-3XL";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"3XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a696a";"Harlem, Braun, 4XL";"Harlem-BRAUN-4XL";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"4XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a6941";"Harlem, Braun, L";"Harlem-BRAUN-L";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"L";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a6937";"Harlem, Braun, M";"Harlem-BRAUN-M";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"M";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a692d";"Harlem, Braun, S";"Harlem-BRAUN-S";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"S";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"62cc1eff9c382b004d0a694c";"Harlem, Braun, XL";"Harlem-BRAUN-XL";;"Harlem";"Herren-Lederjacke";"men";"PK";"Braun";"XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c601f9c382b004d38434d";"Harlem, Cognac, 2XL";"Harlem-COGNAC-2XL";"4260661886252";"Harlem";"Herren-Lederjacke";"men";"PK";"Cognac";"2XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c601f9c382b004d38434f";"Harlem, Cognac, 3XL";"Harlem-COGNAC-3XL";"4260661886269";"Harlem";"Herren-Lederjacke";"men";"PK";"Cognac";"3XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c601f9c382b004d384351";"Harlem, Cognac, 4XL";"Harlem-COGNAC-4XL";"4262381657082";"Harlem";"Herren-Lederjacke";"men";"PK";"Cognac";"4XL";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c601f9c382b004d384349";"Harlem, Cognac, L";"Harlem-COGNAC-L";"4260661886238";"Harlem";"Herren-Lederjacke";"men";"PK";"Cognac";"L";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c601f9c382b004d384347";"Harlem, Cognac, M";"Harlem-COGNAC-M";"4260661886221";"Harlem";"Herren-Lederjacke";"men";"PK";"Cognac";"M";"72,00";"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
